_id;departure_airports_data;arrival_airports_data;aircrafts_id;flight_no ;scheduled_departure;scheduled_arrival;status;actual_departure;actual_arrival
15;DME;LED;321;PG0402;2017-07-28 16:25:00+07;2017-07-28 17:20:00+07;Arrived;2017-07-28 16:31:00+07;2017-07-28 17:26:00+07
16;DME;LED;321;PG0403;2017-08-06 15:25:00+07;2017-08-06 16:20:00+07;Arrived;2017-08-06 15:27:00+07;2017-08-06 16:22:00+07
17;DME;LED;321;PG0404;2017-08-06 23:05:00+07;2017-08-07 00:00:00+07;Arrived;2017-08-06 23:05:00+07;2017-08-07 00:00:00+07
18;DME;LED;321;PG0405;2017-08-06 13:35:00+07;2017-08-06 14:30:00+07;Arrived;2017-08-06 13:39:00+07;2017-08-06 14:35:00+07
19;DME;LED;321;PG0403;2017-07-28 15:25:00+07;2017-07-28 16:20:00+07;Arrived;2017-07-28 15:27:00+07;2017-07-28 16:22:00+07
20;DME;LED;321;PG0403;2017-07-26 15:25:00+07;2017-07-26 16:20:00+07;Arrived;2017-07-26 15:28:00+07;2017-07-26 16:23:00+07
21;DME;LED;321;PG0405;2017-07-19 13:35:00+07;2017-07-19 14:30:00+07;Arrived;2017-07-19 13:36:00+07;2017-07-19 14:31:00+07
22;DME;LED;321;PG0404;2017-07-19 23:05:00+07;2017-07-20 00:00:00+07;Arrived;2017-07-19 23:06:00+07;2017-07-20 00:00:00+07
23;DME;LED;321;PG0403;2017-07-19 15:25:00+07;2017-07-19 16:20:00+07;Arrived;2017-07-19 15:29:00+07;2017-07-19 16:25:00+07
24;DME;LED;321;PG0402;2017-07-19 16:25:00+07;2017-07-19 17:20:00+07;Arrived;2017-07-19 16:29:00+07;2017-07-19 17:24:00+07
25;DME;LED;321;PG0404;2017-07-28 23:05:00+07;2017-07-29 00:00:00+07;Arrived;2017-07-28 23:11:00+07;2017-07-29 00:06:00+07
26;DME;LED;321;PG0405;2017-08-12 13:35:00+07;2017-08-12 14:30:00+07;Arrived;2017-08-12 16:41:00+07;2017-08-12 17:37:00+07
27;DME;LED;321;PG0404;2017-08-12 23:05:00+07;2017-08-13 00:00:00+07;Arrived;2017-08-12 23:07:00+07;2017-08-13 00:02:00+07
28;DME;LED;321;PG0405;2017-09-03 13:35:00+07;2017-09-03 14:30:00+07;Scheduled;;
29;DME;LED;321;PG0403;2017-08-12 15:25:00+07;2017-08-12 16:20:00+07;Arrived;2017-08-12 15:28:00+07;2017-08-12 16:23:00+07
30;DME;LED;321;PG0402;2017-08-12 16:25:00+07;2017-08-12 17:20:00+07;Arrived;2017-08-12 16:28:00+07;2017-08-12 17:23:00+07
31;DME;LED;321;PG0404;2017-09-03 23:05:00+07;2017-09-04 00:00:00+07;Scheduled;;
32;DME;LED;321;PG0403;2017-09-03 15:25:00+07;2017-09-03 16:20:00+07;Scheduled;;
33;DME;LED;321;PG0402;2017-09-03 16:25:00+07;2017-09-03 17:20:00+07;Scheduled;;
34;DME;LED;321;PG0402;2017-08-07 16:25:00+07;2017-08-07 17:20:00+07;Arrived;2017-08-07 16:29:00+07;2017-08-07 17:24:00+07
35;DME;LED;321;PG0403;2017-08-07 15:25:00+07;2017-08-07 16:20:00+07;Arrived;2017-08-07 15:29:00+07;2017-08-07 16:24:00+07
36;DME;LED;321;PG0404;2017-08-07 23:05:00+07;2017-08-08 00:00:00+07;Arrived;2017-08-07 23:09:00+07;2017-08-08 00:04:00+07
37;DME;LED;321;PG0405;2017-08-07 13:35:00+07;2017-08-07 14:30:00+07;Arrived;2017-08-07 13:38:00+07;2017-08-07 14:34:00+07
38;DME;LED;321;PG0405;2017-07-28 13:35:00+07;2017-07-28 14:30:00+07;Arrived;2017-07-28 13:36:00+07;2017-07-28 14:30:00+07
39;DME;LED;321;PG0405;2017-09-08 13:35:00+07;2017-09-08 14:30:00+07;Scheduled;;
40;DME;LED;321;PG0402;2017-09-13 16:25:00+07;2017-09-13 17:20:00+07;Scheduled;;
41;DME;LED;321;PG0403;2017-09-13 15:25:00+07;2017-09-13 16:20:00+07;Scheduled;;
42;DME;LED;321;PG0404;2017-09-13 23:05:00+07;2017-09-14 00:00:00+07;Scheduled;;
43;DME;LED;321;PG0405;2017-09-13 13:35:00+07;2017-09-13 14:30:00+07;Scheduled;;
44;DME;LED;321;PG0404;2017-09-08 23:05:00+07;2017-09-09 00:00:00+07;Scheduled;;
45;DME;LED;321;PG0403;2017-09-08 15:25:00+07;2017-09-08 16:20:00+07;Scheduled;;
46;DME;LED;321;PG0405;2017-08-15 13:35:00+07;2017-08-15 14:30:00+07;Arrived;2017-08-15 13:38:00+07;2017-08-15 14:33:00+07
47;DME;LED;321;PG0404;2017-08-15 23:05:00+07;2017-08-16 00:00:00+07;On Time;;
48;DME;LED;321;PG0403;2017-08-15 15:25:00+07;2017-08-15 16:20:00+07;Arrived;2017-08-15 15:30:00+07;2017-08-15 16:25:00+07
49;DME;LED;321;PG0402;2017-08-15 16:25:00+07;2017-08-15 17:20:00+07;Arrived;2017-08-15 16:28:00+07;2017-08-15 17:24:00+07
50;DME;LED;321;PG0402;2017-08-08 16:25:00+07;2017-08-08 17:20:00+07;Arrived;2017-08-08 16:26:00+07;2017-08-08 17:21:00+07
51;DME;LED;321;PG0403;2017-08-08 15:25:00+07;2017-08-08 16:20:00+07;Arrived;2017-08-08 15:25:00+07;2017-08-08 16:20:00+07
52;DME;LED;321;PG0404;2017-08-08 23:05:00+07;2017-08-09 00:00:00+07;Arrived;2017-08-09 02:05:00+07;2017-08-09 02:59:00+07
53;DME;LED;321;PG0405;2017-08-08 13:35:00+07;2017-08-08 14:30:00+07;Arrived;2017-08-08 13:35:00+07;2017-08-08 14:30:00+07
54;DME;LED;321;PG0405;2017-07-18 13:35:00+07;2017-07-18 14:30:00+07;Arrived;2017-07-18 13:40:00+07;2017-07-18 14:35:00+07
55;DME;LED;321;PG0404;2017-07-18 23:05:00+07;2017-07-19 00:00:00+07;Arrived;2017-07-18 23:08:00+07;2017-07-19 00:03:00+07
56;DME;LED;321;PG0403;2017-07-18 15:25:00+07;2017-07-18 16:20:00+07;Arrived;2017-07-18 18:48:00+07;2017-07-18 19:43:00+07
57;DME;LED;321;PG0402;2017-07-18 16:25:00+07;2017-07-18 17:20:00+07;Arrived;2017-07-18 16:29:00+07;2017-07-18 17:24:00+07
58;DME;LED;321;PG0402;2017-09-08 16:25:00+07;2017-09-08 17:20:00+07;Scheduled;;
59;DME;LED;321;PG0402;2017-07-26 16:25:00+07;2017-07-26 17:20:00+07;Arrived;2017-07-26 16:28:00+07;2017-07-26 17:23:00+07
60;DME;LED;321;PG0402;2017-07-16 16:25:00+07;2017-07-16 17:20:00+07;Arrived;2017-07-16 16:27:00+07;2017-07-16 17:22:00+07
61;DME;LED;321;PG0403;2017-07-16 15:25:00+07;2017-07-16 16:20:00+07;Arrived;2017-07-16 19:15:00+07;2017-07-16 20:10:00+07
62;DME;LED;321;PG0404;2017-07-16 23:05:00+07;2017-07-17 00:00:00+07;Arrived;2017-07-16 23:08:00+07;2017-07-17 00:03:00+07
63;DME;LED;321;PG0402;2017-08-30 16:25:00+07;2017-08-30 17:20:00+07;Scheduled;;
64;DME;LED;321;PG0403;2017-08-30 15:25:00+07;2017-08-30 16:20:00+07;Scheduled;;
65;DME;LED;321;PG0405;2017-09-02 13:35:00+07;2017-09-02 14:30:00+07;Scheduled;;
66;DME;LED;321;PG0404;2017-09-02 23:05:00+07;2017-09-03 00:00:00+07;Scheduled;;
67;DME;LED;321;PG0404;2017-07-26 23:05:00+07;2017-07-27 00:00:00+07;Arrived;2017-07-26 23:06:00+07;2017-07-27 00:01:00+07
68;DME;LED;321;PG0403;2017-09-02 15:25:00+07;2017-09-02 16:20:00+07;Scheduled;;
69;DME;LED;321;PG0402;2017-09-02 16:25:00+07;2017-09-02 17:20:00+07;Scheduled;;
70;DME;LED;321;PG0404;2017-08-30 23:05:00+07;2017-08-31 00:00:00+07;Scheduled;;
71;DME;LED;321;PG0405;2017-08-30 13:35:00+07;2017-08-30 14:30:00+07;Scheduled;;
72;DME;LED;321;PG0402;2017-08-09 16:25:00+07;2017-08-09 17:20:00+07;Arrived;2017-08-09 16:27:00+07;2017-08-09 17:23:00+07
73;DME;LED;321;PG0403;2017-08-09 15:25:00+07;2017-08-09 16:20:00+07;Arrived;2017-08-09 15:30:00+07;2017-08-09 16:27:00+07
74;DME;LED;321;PG0404;2017-08-09 23:05:00+07;2017-08-10 00:00:00+07;Arrived;2017-08-10 02:18:00+07;2017-08-10 03:13:00+07
75;DME;LED;321;PG0405;2017-08-09 13:35:00+07;2017-08-09 14:30:00+07;Arrived;2017-08-09 13:39:00+07;2017-08-09 14:35:00+07
76;DME;LED;321;PG0405;2017-09-09 13:35:00+07;2017-09-09 14:30:00+07;Scheduled;;
77;DME;LED;321;PG0402;2017-08-21 16:25:00+07;2017-08-21 17:20:00+07;Scheduled;;
78;DME;LED;321;PG0402;2017-09-14 16:25:00+07;2017-09-14 17:20:00+07;Scheduled;;
79;DME;LED;321;PG0403;2017-09-14 15:25:00+07;2017-09-14 16:20:00+07;Scheduled;;
80;DME;LED;321;PG0404;2017-09-14 23:05:00+07;2017-09-15 00:00:00+07;Scheduled;;
81;DME;LED;321;PG0405;2017-09-14 13:35:00+07;2017-09-14 14:30:00+07;Scheduled;;
82;DME;LED;321;PG0402;2017-08-13 16:25:00+07;2017-08-13 17:20:00+07;Arrived;2017-08-13 16:30:00+07;2017-08-13 17:25:00+07
83;DME;LED;321;PG0402;2017-08-10 16:25:00+07;2017-08-10 17:20:00+07;Arrived;2017-08-10 19:54:00+07;2017-08-10 20:51:00+07
84;DME;LED;321;PG0403;2017-08-10 15:25:00+07;2017-08-10 16:20:00+07;Arrived;2017-08-10 15:28:00+07;2017-08-10 16:23:00+07
85;DME;LED;321;PG0404;2017-08-10 23:05:00+07;2017-08-11 00:00:00+07;Arrived;2017-08-10 23:10:00+07;2017-08-11 00:06:00+07
86;DME;LED;321;PG0405;2017-08-10 13:35:00+07;2017-08-10 14:30:00+07;Arrived;2017-08-10 13:37:00+07;2017-08-10 14:33:00+07
87;DME;LED;321;PG0405;2017-07-17 13:35:00+07;2017-07-17 14:30:00+07;Arrived;2017-07-17 13:40:00+07;2017-07-17 14:36:00+07
88;DME;LED;321;PG0404;2017-07-17 23:05:00+07;2017-07-18 00:00:00+07;Arrived;2017-07-17 23:06:00+07;2017-07-18 00:02:00+07
89;DME;LED;321;PG0403;2017-07-17 15:25:00+07;2017-07-17 16:20:00+07;Arrived;2017-07-17 15:30:00+07;2017-07-17 16:25:00+07
90;DME;LED;321;PG0402;2017-07-17 16:25:00+07;2017-07-17 17:20:00+07;Arrived;2017-07-17 16:25:00+07;2017-07-17 17:20:00+07
91;DME;LED;321;PG0405;2017-08-14 13:35:00+07;2017-08-14 14:30:00+07;Arrived;2017-08-14 13:37:00+07;2017-08-14 14:33:00+07
92;DME;LED;321;PG0404;2017-08-14 23:05:00+07;2017-08-15 00:00:00+07;Arrived;2017-08-14 23:05:00+07;2017-08-15 00:00:00+07
93;DME;LED;321;PG0403;2017-08-14 15:25:00+07;2017-08-14 16:20:00+07;Arrived;2017-08-14 15:26:00+07;2017-08-14 16:21:00+07
94;DME;LED;321;PG0402;2017-08-24 16:25:00+07;2017-08-24 17:20:00+07;Scheduled;;
95;DME;LED;321;PG0403;2017-08-24 15:25:00+07;2017-08-24 16:20:00+07;Scheduled;;
96;DME;LED;321;PG0402;2017-08-14 16:25:00+07;2017-08-14 17:20:00+07;Arrived;2017-08-14 16:30:00+07;2017-08-14 17:25:00+07
97;DME;LED;321;PG0404;2017-08-24 23:05:00+07;2017-08-25 00:00:00+07;Scheduled;;
98;DME;LED;321;PG0405;2017-08-24 13:35:00+07;2017-08-24 14:30:00+07;Scheduled;;
99;DME;LED;321;PG0403;2017-08-21 15:25:00+07;2017-08-21 16:20:00+07;Scheduled;;
100;DME;LED;321;PG0402;2017-09-10 16:25:00+07;2017-09-10 17:20:00+07;Scheduled;;
101;DME;LED;321;PG0405;2017-09-01 13:35:00+07;2017-09-01 14:30:00+07;Scheduled;;
102;DME;LED;321;PG0404;2017-09-01 23:05:00+07;2017-09-02 00:00:00+07;Scheduled;;
103;DME;LED;321;PG0403;2017-09-01 15:25:00+07;2017-09-01 16:20:00+07;Scheduled;;
104;DME;LED;321;PG0402;2017-09-01 16:25:00+07;2017-09-01 17:20:00+07;Scheduled;;
105;DME;LED;321;PG0403;2017-09-10 15:25:00+07;2017-09-10 16:20:00+07;Scheduled;;
106;DME;LED;321;PG0402;2017-08-11 16:25:00+07;2017-08-11 17:20:00+07;Arrived;2017-08-11 16:27:00+07;2017-08-11 17:23:00+07
107;DME;LED;321;PG0403;2017-08-11 15:25:00+07;2017-08-11 16:20:00+07;Arrived;2017-08-11 15:27:00+07;2017-08-11 16:21:00+07
108;DME;LED;321;PG0404;2017-08-11 23:05:00+07;2017-08-12 00:00:00+07;Arrived;2017-08-11 23:10:00+07;2017-08-12 00:04:00+07
109;DME;LED;321;PG0405;2017-08-11 13:35:00+07;2017-08-11 14:30:00+07;Arrived;2017-08-11 13:36:00+07;2017-08-11 14:31:00+07
110;DME;LED;321;PG0403;2017-08-13 15:25:00+07;2017-08-13 16:20:00+07;Arrived;2017-08-13 15:28:00+07;2017-08-13 16:23:00+07
111;DME;LED;321;PG0404;2017-09-10 23:05:00+07;2017-09-11 00:00:00+07;Scheduled;;
112;DME;LED;321;PG0405;2017-09-10 13:35:00+07;2017-09-10 14:30:00+07;Scheduled;;
113;DME;LED;321;PG0404;2017-08-13 23:05:00+07;2017-08-14 00:00:00+07;Arrived;2017-08-13 23:07:00+07;2017-08-14 00:02:00+07
114;DME;LED;321;PG0405;2017-08-13 13:35:00+07;2017-08-13 14:30:00+07;Arrived;2017-08-13 13:39:00+07;2017-08-13 14:34:00+07
115;DME;LED;321;PG0402;2017-08-31 16:25:00+07;2017-08-31 17:20:00+07;Scheduled;;
116;DME;LED;321;PG0403;2017-08-31 15:25:00+07;2017-08-31 16:20:00+07;Scheduled;;
117;DME;LED;321;PG0405;2017-08-27 13:35:00+07;2017-08-27 14:30:00+07;Scheduled;;
118;DME;LED;321;PG0404;2017-08-21 23:05:00+07;2017-08-22 00:00:00+07;Scheduled;;
119;DME;LED;321;PG0404;2017-08-27 23:05:00+07;2017-08-28 00:00:00+07;Scheduled;;
120;DME;LED;321;PG0404;2017-08-31 23:05:00+07;2017-09-01 00:00:00+07;Scheduled;;
121;DME;LED;321;PG0405;2017-08-31 13:35:00+07;2017-08-31 14:30:00+07;Scheduled;;
122;DME;LED;321;PG0405;2017-08-21 13:35:00+07;2017-08-21 14:30:00+07;Scheduled;;
123;DME;LED;321;PG0402;2017-07-29 16:25:00+07;2017-07-29 17:20:00+07;Arrived;2017-07-29 16:27:00+07;2017-07-29 17:22:00+07
124;DME;LED;321;PG0403;2017-07-29 15:25:00+07;2017-07-29 16:20:00+07;Arrived;2017-07-29 15:25:00+07;2017-07-29 16:20:00+07
125;DME;LED;321;PG0404;2017-07-29 23:05:00+07;2017-07-30 00:00:00+07;Arrived;2017-07-29 23:07:00+07;2017-07-30 00:02:00+07
126;DME;LED;321;PG0405;2017-07-29 13:35:00+07;2017-07-29 14:30:00+07;Arrived;2017-07-29 13:37:00+07;2017-07-29 14:31:00+07
127;DME;LED;321;PG0403;2017-08-27 15:25:00+07;2017-08-27 16:20:00+07;Scheduled;;
128;DME;LED;321;PG0402;2017-08-27 16:25:00+07;2017-08-27 17:20:00+07;Scheduled;;
129;DME;LED;321;PG0405;2017-07-24 13:35:00+07;2017-07-24 14:30:00+07;Arrived;2017-07-24 13:41:00+07;2017-07-24 14:36:00+07
130;DME;LED;321;PG0404;2017-07-24 23:05:00+07;2017-07-25 00:00:00+07;Arrived;2017-07-24 23:05:00+07;2017-07-25 00:00:00+07
131;DME;LED;321;PG0403;2017-07-24 15:25:00+07;2017-07-24 16:20:00+07;Arrived;2017-07-24 15:28:00+07;2017-07-24 16:23:00+07
132;DME;LED;321;PG0402;2017-07-24 16:25:00+07;2017-07-24 17:20:00+07;Arrived;2017-07-24 16:29:00+07;2017-07-24 17:24:00+07
133;DME;LED;321;PG0405;2017-08-19 13:35:00+07;2017-08-19 14:30:00+07;Scheduled;;
134;DME;LED;321;PG0404;2017-08-19 23:05:00+07;2017-08-20 00:00:00+07;Scheduled;;
135;DME;LED;321;PG0403;2017-08-19 15:25:00+07;2017-08-19 16:20:00+07;Scheduled;;
136;DME;LED;321;PG0402;2017-08-19 16:25:00+07;2017-08-19 17:20:00+07;Scheduled;;
137;DME;LED;321;PG0404;2017-08-25 23:05:00+07;2017-08-26 00:00:00+07;Scheduled;;
138;DME;LED;321;PG0405;2017-09-07 13:35:00+07;2017-09-07 14:30:00+07;Scheduled;;
139;DME;LED;321;PG0402;2017-07-30 16:25:00+07;2017-07-30 17:20:00+07;Arrived;2017-07-30 16:30:00+07;2017-07-30 17:25:00+07
140;DME;LED;321;PG0403;2017-07-30 15:25:00+07;2017-07-30 16:20:00+07;Arrived;2017-07-30 15:27:00+07;2017-07-30 16:22:00+07
141;DME;LED;321;PG0404;2017-07-30 23:05:00+07;2017-07-31 00:00:00+07;Arrived;2017-07-30 23:10:00+07;2017-07-31 00:06:00+07
142;DME;LED;321;PG0405;2017-07-30 13:35:00+07;2017-07-30 14:30:00+07;Arrived;2017-07-30 13:35:00+07;2017-07-30 14:30:00+07
143;DME;LED;321;PG0404;2017-09-07 23:05:00+07;2017-09-08 00:00:00+07;Scheduled;;
144;DME;LED;321;PG0403;2017-09-07 15:25:00+07;2017-09-07 16:20:00+07;Scheduled;;
145;DME;LED;321;PG0402;2017-09-07 16:25:00+07;2017-09-07 17:20:00+07;Scheduled;;
146;DME;LED;321;PG0403;2017-08-25 15:25:00+07;2017-08-25 16:20:00+07;Scheduled;;
147;DME;LED;321;PG0402;2017-08-28 16:25:00+07;2017-08-28 17:20:00+07;Scheduled;;
148;DME;LED;321;PG0403;2017-08-28 15:25:00+07;2017-08-28 16:20:00+07;Scheduled;;
149;DME;LED;321;PG0404;2017-08-28 23:05:00+07;2017-08-29 00:00:00+07;Scheduled;;
150;DME;LED;321;PG0405;2017-08-28 13:35:00+07;2017-08-28 14:30:00+07;Scheduled;;
151;DME;LED;321;PG0405;2017-08-20 13:35:00+07;2017-08-20 14:30:00+07;Scheduled;;
152;DME;LED;321;PG0405;2017-07-23 13:35:00+07;2017-07-23 14:30:00+07;Arrived;2017-07-23 13:38:00+07;2017-07-23 14:32:00+07
153;DME;LED;321;PG0404;2017-07-23 23:05:00+07;2017-07-24 00:00:00+07;Arrived;2017-07-23 23:07:00+07;2017-07-24 00:02:00+07
154;DME;LED;321;PG0403;2017-07-23 15:25:00+07;2017-07-23 16:20:00+07;Arrived;2017-07-23 15:29:00+07;2017-07-23 16:24:00+07
155;DME;LED;321;PG0402;2017-07-23 16:25:00+07;2017-07-23 17:20:00+07;Arrived;2017-07-23 16:28:00+07;2017-07-23 17:24:00+07
156;DME;LED;321;PG0404;2017-08-20 23:05:00+07;2017-08-21 00:00:00+07;Scheduled;;
157;DME;LED;321;PG0402;2017-07-31 16:25:00+07;2017-07-31 17:20:00+07;Arrived;2017-07-31 16:32:00+07;2017-07-31 17:26:00+07
158;DME;LED;321;PG0403;2017-07-31 15:25:00+07;2017-07-31 16:20:00+07;Arrived;2017-07-31 15:26:00+07;2017-07-31 16:21:00+07
159;DME;LED;321;PG0404;2017-07-31 23:05:00+07;2017-08-01 00:00:00+07;Arrived;2017-07-31 23:05:00+07;2017-08-01 00:00:00+07
160;DME;LED;321;PG0405;2017-07-31 13:35:00+07;2017-07-31 14:30:00+07;Arrived;2017-07-31 13:40:00+07;2017-07-31 14:36:00+07
161;DME;LED;321;PG0403;2017-08-20 15:25:00+07;2017-08-20 16:20:00+07;Scheduled;;
162;DME;LED;321;PG0405;2017-08-18 13:35:00+07;2017-08-18 14:30:00+07;Scheduled;;
163;DME;LED;321;PG0402;2017-08-20 16:25:00+07;2017-08-20 17:20:00+07;Scheduled;;
164;DME;LED;321;PG0404;2017-08-18 23:05:00+07;2017-08-19 00:00:00+07;Scheduled;;
165;DME;LED;321;PG0403;2017-08-18 15:25:00+07;2017-08-18 16:20:00+07;Scheduled;;
166;DME;LED;321;PG0402;2017-08-18 16:25:00+07;2017-08-18 17:20:00+07;Scheduled;;
167;DME;LED;321;PG0402;2017-07-27 16:25:00+07;2017-07-27 17:20:00+07;Arrived;2017-07-27 16:26:00+07;2017-07-27 17:21:00+07
168;DME;LED;321;PG0405;2017-09-06 13:35:00+07;2017-09-06 14:30:00+07;Scheduled;;
169;DME;LED;321;PG0404;2017-09-06 23:05:00+07;2017-09-07 00:00:00+07;Scheduled;;
170;DME;LED;321;PG0403;2017-09-06 15:25:00+07;2017-09-06 16:20:00+07;Scheduled;;
171;DME;LED;321;PG0402;2017-09-06 16:25:00+07;2017-09-06 17:20:00+07;Scheduled;;
172;DME;LED;321;PG0402;2017-09-11 16:25:00+07;2017-09-11 17:20:00+07;Scheduled;;
173;DME;LED;321;PG0402;2017-08-01 16:25:00+07;2017-08-01 17:20:00+07;Arrived;2017-08-01 16:28:00+07;2017-08-01 17:22:00+07
174;DME;LED;321;PG0403;2017-08-01 15:25:00+07;2017-08-01 16:20:00+07;Arrived;2017-08-01 15:32:00+07;2017-08-01 16:28:00+07
175;DME;LED;321;PG0404;2017-08-01 23:05:00+07;2017-08-02 00:00:00+07;Arrived;2017-08-01 23:08:00+07;2017-08-02 00:04:00+07
176;DME;LED;321;PG0405;2017-08-01 13:35:00+07;2017-08-01 14:30:00+07;Arrived;2017-08-01 13:39:00+07;2017-08-01 14:33:00+07
177;DME;LED;321;PG0403;2017-09-11 15:25:00+07;2017-09-11 16:20:00+07;Scheduled;;
178;DME;LED;321;PG0404;2017-09-11 23:05:00+07;2017-09-12 00:00:00+07;Scheduled;;
179;DME;LED;321;PG0405;2017-09-11 13:35:00+07;2017-09-11 14:30:00+07;Scheduled;;
180;DME;LED;321;PG0403;2017-07-27 15:25:00+07;2017-07-27 16:20:00+07;Arrived;2017-07-27 15:27:00+07;2017-07-27 16:22:00+07
181;DME;LED;321;PG0404;2017-07-27 23:05:00+07;2017-07-28 00:00:00+07;Arrived;2017-07-27 23:07:00+07;2017-07-28 00:02:00+07
182;DME;LED;321;PG0405;2017-07-22 13:35:00+07;2017-07-22 14:30:00+07;Arrived;2017-07-22 13:39:00+07;2017-07-22 14:34:00+07
183;DME;LED;321;PG0405;2017-07-27 13:35:00+07;2017-07-27 14:30:00+07;Arrived;2017-07-27 13:37:00+07;2017-07-27 14:33:00+07
184;DME;LED;321;PG0404;2017-07-22 23:05:00+07;2017-07-23 00:00:00+07;Arrived;2017-07-22 23:06:00+07;2017-07-23 00:01:00+07
185;DME;LED;321;PG0403;2017-07-22 15:25:00+07;2017-07-22 16:20:00+07;Arrived;2017-07-22 15:30:00+07;2017-07-22 16:26:00+07
